gene,transcripts,chromosome,position,strand,annotation source
TTLL1,ENST00000266254.7,chr22,43485433,-,GENCODE
TTLL10,"ENST00000379289.1,ENST00000379290.1",chr1,1109283,+,GENCODE
TTLL11,ENST00000321582.5,chr9,124855884,-,GENCODE
TTLL12,ENST00000216129.6,chr22,43583138,-,GENCODE
TTLL13,ENST00000339615.5,chr15,90792761,+,GENCODE
TTLL2,ENST00000239587.5,chr6,167738573,+,GENCODE
TTLL3,ENST00000426895.4,chr3,9851671,+,GENCODE
TTLL4,ENST00000258398.4,chr2,219602296,+,GENCODE
TTLL4,ENST00000392102.1,chr2,219575597,+,GENCODE
TTLL5,ENST00000298832.9,chr14,76127620,+,GENCODE
TTLL6,ENST00000393382.3,chr17,46894575,-,GENCODE
TTLL7,ENST00000260505.8,chr1,84464814,-,GENCODE
TTLL8,"ENST00000266182.6,ENST00000440475.1",chr22,50493054,-,GENCODE
TTLL9,"ENST00000375938.4,ENST00000535842.1",chr20,30458504,+,GENCODE
TTN,"ENST00000342175.6,ENST00000342992.6,ENST00000359218.5,ENST00000360870.5,ENST00000460472.2",chr2,179672148,-,GENCODE
TTN,ENST00000412264.1,chr2,179695528,-,GENCODE
TTN,ENST00000414766.1,chr2,179567246,-,GENCODE
TTN,ENST00000425332.2,chr2,179532033,-,GENCODE
TTN,"ENST00000426232.1,ENST00000446966.1",chr2,179516244,-,GENCODE
TTN,ENST00000436599.1,chr2,179659680,-,GENCODE
TTN,ENST00000448510.2,chr2,179537144,-,GENCODE
TTPA,ENST00000260116.4,chr8,63998611,-,GENCODE
TTPAL,"ENST00000262605.4,ENST00000372904.3",chr20,43104526,+,GENCODE
TTR,ENST00000237014.3,chr18,29171688,+,GENCODE
TTYH1,"ENST00000301194.4,ENST00000376530.3",chr19,54926613,+,GENCODE
TTYH2,ENST00000269346.4,chr17,72209652,+,GENCODE
TTYH3,ENST00000258796.7,chr7,2671584,+,GENCODE
TUB,ENST00000305253.4,chr11,8060179,+,GENCODE
TUBA1A,ENST00000301071.7,chr12,49583106,-,GENCODE
TUBA1B,ENST00000336023.5,chr12,49525177,-,GENCODE
TUBA1C,ENST00000301072.6,chr12,49658689,+,GENCODE
TUBA3C,ENST00000400113.3,chr13,19755991,-,GENCODE
TUBA3D,ENST00000321253.6,chr2,132233665,+,GENCODE
TUBA3E,ENST00000312988.7,chr2,130956033,-,GENCODE
TUBA4A,ENST00000248437.4,chr2,220118753,-,GENCODE
TUBA8,ENST00000330423.3,chr22,18593558,+,GENCODE
TUBAL3,ENST00000380419.3,chr10,5446792,-,GENCODE
TUBB,ENST00000327892.8,chr6,30687977,+,GENCODE
TUBB1,ENST00000217133.1,chr20,57594308,+,GENCODE
TUBB2A,ENST00000333628.3,chr6,3157759,-,GENCODE
TUBB2B,ENST00000259818.7,chr6,3227968,-,GENCODE
TUBB3,ENST00000315491.7,chr16,89989686,+,GENCODE
TUBB4A,ENST00000264071.2,chr19,6502594,-,GENCODE
TUBB4A,ENST00000540257.1,chr19,6502303,-,GENCODE
TUBB4B,ENST00000340384.4,chr9,140135664,+,GENCODE
TUBB6,ENST00000317702.5,chr18,12308057,+,GENCODE
TUBB8,ENST00000309812.4,chr10,95240,-,GENCODE
TUBD1,ENST00000325752.3,chr17,57970295,-,GENCODE
TUBD1,ENST00000592426.1,chr17,57968363,-,GENCODE
TUBE1,ENST00000368662.5,chr6,112408715,-,GENCODE
TUBG1,ENST00000251413.3,chr17,40761693,+,GENCODE
TUBG2,ENST00000251412.7,chr17,40811322,+,GENCODE
TUBGCP2,ENST00000252936.3,chr10,135116484,-,GENCODE
TUBGCP2,ENST00000368563.2,chr10,135122643,-,GENCODE
TUBGCP3,ENST00000261965.3,chr13,113242480,-,GENCODE
TUBGCP4,"ENST00000260383.7,ENST00000564079.1",chr15,43663305,+,GENCODE
TUBGCP5,ENST00000283645.4,chr15,22833394,+,GENCODE
TUBGCP6,ENST00000248846.5,chr22,50682992,-,GENCODE
TUFM,ENST00000313511.3,chr16,28857728,-,GENCODE
TUFT1,ENST00000368849.3,chr1,151512780,+,GENCODE
TULP1,ENST00000229771.6,chr6,35480714,-,GENCODE
TULP2,ENST00000221399.3,chr19,49401989,-,GENCODE
TULP3,ENST00000448120.2,chr12,3000062,+,GENCODE
TULP4,ENST00000367097.3,chr6,158733691,+,GENCODE
TUSC1,ENST00000358022.3,chr9,25678855,-,GENCODE
TUSC2,ENST00000232496.4,chr3,50365673,-,GENCODE
TUSC3,"ENST00000382020.4,ENST00000503731.1",chr8,15397761,+,GENCODE
TUSC5,ENST00000333813.3,chr17,1182956,+,GENCODE
TUT1,ENST00000308436.7,chr11,62359108,-,GENCODE
TUT1,ENST00000476907.1,chr11,62359648,-,GENCODE
TVP23A,ENST00000299866.8,chr16,10912641,-,GENCODE
TVP23B,ENST00000307767.8,chr17,18684307,+,GENCODE
TVP23C,"ENST00000428082.2,ENST00000438826.3,ENST00000518321.1",chr17,15466885,-,GENCODE
TVP23C-CDRT4,ENST00000522212.2,chr17,15466874,-,GENCODE
TWF1,ENST00000395510.2,chr12,44200177,-,GENCODE
TWF2,ENST00000305533.5,chr3,52273275,-,GENCODE
TWIST1,ENST00000242261.5,chr7,19157294,-,GENCODE
TWIST2,ENST00000448943.2,chr2,239756672,+,GENCODE
TWISTNB,ENST00000222567.5,chr7,19748709,-,GENCODE
TWSG1,ENST00000262120.5,chr18,9334764,+,GENCODE
TXK,ENST00000264316.4,chr4,48136272,-,GENCODE
TXLNA,ENST00000373609.1,chr1,32645665,+,GENCODE
TXLNA,ENST00000373610.3,chr1,32645286,+,GENCODE
TXLNB,ENST00000358430.3,chr6,139613275,-,GENCODE
TXLNG,ENST00000380122.5,chrX,16804549,+,GENCODE
TXN,ENST00000374517.5,chr9,113018919,-,GENCODE
TXN2,ENST00000216185.2,chr22,36878076,-,GENCODE
TXN2,ENST00000403313.1,chr22,36877386,-,GENCODE
TXNDC11,"ENST00000283033.5,ENST00000356957.3",chr16,11836713,-,GENCODE
TXNDC12,ENST00000371626.4,chr1,52521842,-,GENCODE
TXNDC15,ENST00000358387.4,chr5,134209492,+,GENCODE
TXNDC16,ENST00000281741.4,chr14,53019223,-,GENCODE
TXNDC17,ENST00000250101.5,chr17,6544077,+,GENCODE
TXNDC2,"ENST00000306084.6,ENST00000357775.5",chr18,9885953,+,GENCODE
TXNDC5,ENST00000379757.4,chr6,7911046,-,GENCODE
TXNDC8,"ENST00000374510.4,ENST00000374511.3",chr9,113100105,-,GENCODE
TXNDC9,ENST00000264255.3,chr2,99952924,-,GENCODE
TXNIP,ENST00000369317.4,chr1,145438468,+,GENCODE
TXNL1,ENST00000217515.6,chr18,54305875,-,GENCODE
TXNL1,ENST00000590954.1,chr18,54318358,-,GENCODE
TXNL4A,ENST00000269601.5,chr18,77748592,-,GENCODE
TXNL4B,ENST00000268483.3,chr16,72127549,-,GENCODE
TXNL4B,ENST00000423037.1,chr16,72127767,-,GENCODE
TXNL4B,ENST00000426362.2,chr16,72128329,-,GENCODE
TXNRD1,"ENST00000429002.2,ENST00000525566.1",chr12,104609557,+,GENCODE
TXNRD2,"ENST00000400518.1,ENST00000542719.1",chr22,19920012,-,GENCODE
TXNRD2,"ENST00000400519.1,ENST00000400521.1,ENST00000535882.1",chr22,19929327,-,GENCODE
TXNRD3,ENST00000518740.1,chr3,126328087,-,GENCODE
TXNRD3,"ENST00000523403.1,ENST00000524230.2",chr3,126373970,-,GENCODE
TXNRD3NB,ENST00000383572.2,chr3,126327397,-,GENCODE
TXNRD3NB,ENST00000404489.2,chr3,126291478,-,GENCODE
TYK2,ENST00000264818.6,chr19,10489081,-,GENCODE
TYK2,ENST00000525621.1,chr19,10491351,-,GENCODE
TYMP,"ENST00000252029.3,ENST00000395678.3,ENST00000395680.1,ENST00000395681.1",chr22,50968453,-,GENCODE
TYMS,ENST00000323274.10,chr18,657603,+,GENCODE
TYR,ENST00000263321.5,chr11,88910619,+,GENCODE
TYRO3,ENST00000263798.3,chr15,41851231,+,GENCODE
TYROBP,"ENST00000262629.4,ENST00000589517.1",chr19,36399196,-,GENCODE
TYRP1,ENST00000388918.5,chr9,12693434,+,GENCODE
TYSND1,ENST00000287078.6,chr10,71906341,-,GENCODE
TYW1,ENST00000359626.5,chr7,66461801,+,GENCODE
TYW1B,ENST00000343721.5,chr7,72209724,-,GENCODE
TYW3,ENST00000370867.3,chr1,75198839,+,GENCODE
TYW5,ENST00000354611.4,chr2,200820458,-,GENCODE
U2AF1,"ENST00000291552.4,ENST00000380276.2",chr21,44527685,-,GENCODE
U2AF1L4,ENST00000412391.2,chr19,36236305,-,GENCODE
U2AF2,ENST00000308924.4,chr19,56166430,+,GENCODE
U2AF2,ENST00000450554.2,chr19,56165511,+,GENCODE
U2SURP,ENST00000473835.2,chr3,142720380,+,GENCODE
UACA,ENST00000322954.6,chr15,71055931,-,GENCODE
UACA,ENST00000379983.2,chr15,70994646,-,GENCODE
UAP1,ENST00000367926.4,chr1,162531322,+,GENCODE
UAP1L1,ENST00000409858.3,chr9,139971952,+,GENCODE
UBA1,ENST00000335972.6,chrX,47053240,+,GENCODE
UBA1,ENST00000377351.4,chrX,47050259,+,GENCODE
UBA2,ENST00000246548.4,chr19,34919267,+,GENCODE
UBA3,ENST00000361055.4,chr3,69129558,-,GENCODE
UBA5,ENST00000356232.4,chr3,132378309,+,GENCODE
UBA52,"ENST00000430157.2,ENST00000442744.2,ENST00000595158.1,ENST00000595683.1,ENST00000596273.1,ENST00000596304.1,ENST00000598780.1",chr19,18682656,+,GENCODE
UBA52,"ENST00000597451.1,ENST00000599595.1",chr19,18684084,+,GENCODE
UBA52,ENST00000599551.1,chr19,18683549,+,GENCODE
UBA6,ENST00000322244.5,chr4,68566896,-,GENCODE
UBA7,ENST00000333486.3,chr3,49851378,-,GENCODE
UBAC1,ENST00000371756.3,chr9,138853225,-,GENCODE
UBAC2,ENST00000403766.3,chr13,99853027,+,GENCODE
UBALD1,ENST00000283474.7,chr16,4664926,-,GENCODE
UBALD2,ENST00000327490.6,chr17,74261282,+,GENCODE
UBAP1,"ENST00000297661.4,ENST00000536252.1,ENST00000540348.1",chr9,34179004,+,GENCODE
UBAP1,ENST00000359544.2,chr9,34220436,+,GENCODE
UBAP1L,ENST00000502113.2,chr15,65398696,-,GENCODE
UBAP1L,ENST00000559089.1,chr15,65407534,-,GENCODE
UBAP2,"ENST00000360802.1,ENST00000379238.1,ENST00000449054.1",chr9,34048908,-,GENCODE
UBAP2L,ENST00000361546.2,chr1,154197557,+,GENCODE
UBAP2L,ENST00000428931.1,chr1,154193324,+,GENCODE
UBASH3A,ENST00000291535.6,chr21,43824007,+,GENCODE
UBASH3B,ENST00000284273.5,chr11,122526382,+,GENCODE
UBB,ENST00000302182.3,chr17,16284112,+,GENCODE
UBB,"ENST00000395837.1,ENST00000395839.1",chr17,16284628,+,GENCODE
UBC,ENST00000339647.5,chr12,125399692,-,GENCODE
UBC,ENST00000536769.1,chr12,125399893,-,GENCODE
UBD,ENST00000377050.4,chr6,29527701,-,GENCODE
UBE2A,ENST00000371558.2,chrX,118708500,+,GENCODE
UBE2B,ENST00000265339.2,chr5,133706869,+,GENCODE
UBE2C,ENST00000356455.4,chr20,44441214,+,GENCODE
UBE2D1,ENST00000373910.4,chr10,60094734,+,GENCODE
UBE2D2,ENST00000398733.3,chr5,138940750,+,GENCODE
UBE2D3,ENST00000321805.7,chr4,103748709,-,GENCODE
UBE2D3,ENST00000338145.3,chr4,103790031,-,GENCODE
UBE2D3,ENST00000343106.5,chr4,103748278,-,GENCODE
UBE2D3,"ENST00000349311.8,ENST00000453744.2",chr4,103748986,-,GENCODE
UBE2D3,"ENST00000394801.4,ENST00000394804.2",chr4,103749104,-,GENCODE
UBE2D3,ENST00000394803.5,chr4,103749315,-,GENCODE
UBE2D4,ENST00000222402.3,chr7,43966042,+,GENCODE
UBE2E1,ENST00000306627.3,chr3,23847393,+,GENCODE
UBE2E2,ENST00000396703.1,chr3,23244783,+,GENCODE
UBE2E2,ENST00000425792.1,chr3,23244510,+,GENCODE
UBE2E3,"ENST00000392415.2,ENST00000602959.1",chr2,181845105,+,GENCODE
UBE2E3,ENST00000410062.4,chr2,181845332,+,GENCODE
UBE2E3,ENST00000602710.1,chr2,181845850,+,GENCODE
UBE2F,ENST00000272930.4,chr2,238875596,+,GENCODE
UBE2G1,ENST00000396981.2,chr17,4269776,-,GENCODE
UBE2G2,ENST00000345496.2,chr21,46221933,-,GENCODE
UBE2H,ENST00000355621.3,chr7,129592788,-,GENCODE
UBE2I,ENST00000325437.5,chr16,1359153,+,GENCODE
UBE2I,ENST00000355803.4,chr16,1358880,+,GENCODE
UBE2I,"ENST00000397514.3,ENST00000397515.2,ENST00000403747.2",chr16,1359607,+,GENCODE
UBE2I,ENST00000406620.1,chr16,1361871,+,GENCODE
UBE2I,ENST00000566587.1,chr16,1359803,+,GENCODE
UBE2J1,ENST00000435041.2,chr6,90062566,-,GENCODE
UBE2J2,ENST00000400930.4,chr1,1209212,-,GENCODE
UBE2K,ENST00000261427.5,chr4,39699663,+,GENCODE
UBE2L3,ENST00000342192.4,chr22,21921835,+,GENCODE
UBE2L6,ENST00000287156.4,chr11,57335279,-,GENCODE
UBE2M,ENST00000253023.3,chr19,59070326,-,GENCODE
UBE2N,ENST00000318066.2,chr12,93836037,-,GENCODE
UBE2NL,ENST00000370494.1,chrX,142967172,+,GENCODE
UBE2O,ENST00000319380.7,chr17,74449287,-,GENCODE
UBE2Q1,ENST00000292211.4,chr1,154531108,-,GENCODE
UBE2Q2,ENST00000267938.4,chr15,76135625,+,GENCODE
UBE2QL1,ENST00000399816.3,chr5,6448735,+,GENCODE
UBE2R2,ENST00000263228.3,chr9,33817564,+,GENCODE
UBE2S,ENST00000264552.9,chr19,55919144,-,GENCODE
UBE2T,ENST00000367274.4,chr1,202311107,-,GENCODE
UBE2U,ENST00000371076.3,chr1,64669489,+,GENCODE
UBE2V1,"ENST00000340309.3,ENST00000371677.3",chr20,48732490,-,GENCODE
UBE2V2,ENST00000523111.2,chr8,48920959,+,GENCODE
UBE2W,ENST00000602593.1,chr8,74791109,-,GENCODE
UBE2Z,ENST00000360943.5,chr17,46985730,+,GENCODE
UBE3A,ENST00000232165.3,chr15,25684127,-,GENCODE
UBE3A,ENST00000428984.2,chr15,25653794,-,GENCODE
UBE3A,ENST00000438097.1,chr15,25650652,-,GENCODE
UBE3B,ENST00000342494.3,chr12,109915446,+,GENCODE
UBE3B,ENST00000434735.2,chr12,109915206,+,GENCODE
UBE3C,ENST00000348165.5,chr7,156931606,+,GENCODE
UBE3D,ENST00000369747.3,chr6,83775559,-,GENCODE
UBE4A,"ENST00000252108.3,ENST00000431736.2",chr11,118230328,+,GENCODE
UBE4B,ENST00000253251.8,chr1,10092889,+,GENCODE
UBFD1,ENST00000395878.3,chr16,23568682,+,GENCODE
UBIAD1,ENST00000376810.5,chr1,11333262,+,GENCODE
UBL3,ENST00000380680.4,chr13,30424820,-,GENCODE
UBL4A,ENST00000369660.4,chrX,153715008,-,GENCODE
UBL4B,ENST00000334179.3,chr1,110655061,+,GENCODE
UBL5,"ENST00000358666.3,ENST00000586895.1,ENST00000590068.1",chr19,9938567,+,GENCODE
UBL7,"ENST00000361351.4,ENST00000395081.2,ENST00000564488.1,ENST00000565335.1,ENST00000567435.1",chr15,74753486,-,GENCODE
UBLCP1,ENST00000296786.6,chr5,158690088,+,GENCODE
UBN1,ENST00000262376.6,chr16,4897631,+,GENCODE
UBN1,ENST00000396658.4,chr16,4902215,+,GENCODE
UBN2,ENST00000473989.3,chr7,138916230,+,GENCODE
UBOX5,ENST00000217173.2,chr20,3140841,-,GENCODE
UBP1,"ENST00000283628.5,ENST00000283629.3",chr3,33481935,-,GENCODE
UBQLN1,ENST00000376395.4,chr9,86323117,-,GENCODE
UBQLN2,ENST00000338222.5,chrX,56590025,+,GENCODE
UBQLN3,ENST00000311659.4,chr11,5531214,-,GENCODE
UBQLN4,ENST00000368309.3,chr1,156023584,-,GENCODE
UBQLNL,ENST00000380184.1,chr11,5537934,-,GENCODE
UBR1,ENST00000290650.4,chr15,43398298,-,GENCODE
UBR2,"ENST00000372899.1,ENST00000372901.1",chr6,42531799,+,GENCODE
UBR3,"ENST00000272793.5,ENST00000418381.1",chr2,170683992,+,GENCODE
UBR4,ENST00000375254.3,chr1,19536769,-,GENCODE
UBR5,"ENST00000220959.4,ENST00000520539.1,ENST00000521922.1",chr8,103424990,-,GENCODE
UBR7,ENST00000013070.6,chr14,93673400,+,GENCODE
UBTD1,ENST00000370664.3,chr10,99258624,+,GENCODE
UBTD2,ENST00000393792.2,chr5,171711074,-,GENCODE
UBTF,ENST00000302904.4,chr17,42298993,-,GENCODE
UBTF,ENST00000436088.1,chr17,42296865,-,GENCODE
UBTF,ENST00000529383.1,chr17,42295869,-,GENCODE
UBXN1,"ENST00000301935.5,ENST00000529640.1",chr11,62446548,-,GENCODE
UBXN10,ENST00000375099.3,chr1,20512577,+,GENCODE
UBXN11,"ENST00000314675.7,ENST00000357089.4,ENST00000374221.3",chr1,26633127,-,GENCODE
UBXN11,"ENST00000374217.2,ENST00000374222.1",chr1,26644804,-,GENCODE
UBXN2A,ENST00000309033.4,chr2,24163288,+,GENCODE
UBXN2A,ENST00000404924.1,chr2,24150181,+,GENCODE
UBXN2B,ENST00000399598.2,chr8,59323822,+,GENCODE
UBXN4,ENST00000272638.9,chr2,136499188,+,GENCODE
UBXN6,ENST00000301281.6,chr19,4457818,-,GENCODE
UBXN7,ENST00000296328.4,chr3,196159344,-,GENCODE
UBXN8,"ENST00000265616.5,ENST00000341403.5,ENST00000380154.5,ENST00000517341.1,ENST00000518239.1,ENST00000519246.1,ENST00000523607.1",chr8,30601692,+,GENCODE
UBXN8,ENST00000518059.1,chr8,30608913,+,GENCODE
UBXN8,ENST00000521598.1,chr8,30613635,+,GENCODE
UBXN8,ENST00000522735.1,chr8,30589763,+,GENCODE
UBXN8,ENST00000522968.1,chr8,30590135,+,GENCODE
UCHL1,"ENST00000284440.4,ENST00000503431.1",chr4,41258817,+,GENCODE
UCHL3,ENST00000377595.3,chr13,76123926,+,GENCODE
UCHL5,"ENST00000367449.1,ENST00000367454.1,ENST00000367455.4",chr1,193028596,-,GENCODE
UCK1,ENST00000372215.4,chr9,134406654,-,GENCODE
UCK2,ENST00000367879.4,chr1,165796767,+,GENCODE
UCKL1,ENST00000369908.5,chr20,62582478,-,GENCODE
UCMA,ENST00000378681.3,chr10,13276330,-,GENCODE
UCN,ENST00000296099.2,chr2,27531312,-,GENCODE
UCN2,ENST00000273610.3,chr3,48601205,-,GENCODE
UCN3,ENST00000380433.3,chr10,5406971,+,GENCODE
UCP1,ENST00000262999.3,chr4,141489958,-,GENCODE
UCP2,ENST00000310473.3,chr11,73694351,-,GENCODE
UCP3,ENST00000314032.4,chr11,73720479,-,GENCODE
UEVLD,ENST00000396197.3,chr11,18610229,-,GENCODE
UFC1,ENST00000368003.5,chr1,161123541,+,GENCODE
UFD1L,ENST00000263202.10,chr22,19466737,-,GENCODE
UFL1,ENST00000369278.4,chr6,96969683,+,GENCODE
UFM1,ENST00000239878.4,chr13,38924017,+,GENCODE
UFSP1,ENST00000388761.2,chr7,100487338,-,GENCODE
UFSP2,ENST00000264689.6,chr4,186347138,-,GENCODE
UGCG,ENST00000374279.3,chr9,114659045,+,GENCODE
UGDH,ENST00000316423.6,chr4,39529237,-,GENCODE
UGDH,ENST00000506179.1,chr4,39528176,-,GENCODE
UGGT1,ENST00000259253.6,chr2,128848884,+,GENCODE
UGGT2,ENST00000376747.3,chr13,96705636,-,GENCODE
UGP2,ENST00000337130.5,chr2,64068843,+,GENCODE
UGT1A1,ENST00000373450.4,chr2,234526290,+,GENCODE
UGT1A1,ENST00000609637.1,chr2,234580543,+,GENCODE
UGT1A10,ENST00000344644.5,chr2,234545099,+,GENCODE
UGT1A3,ENST00000482026.1,chr2,234637753,+,GENCODE
UGT1A4,ENST00000373409.3,chr2,234627423,+,GENCODE
UGT1A5,ENST00000373414.3,chr2,234621637,+,GENCODE
UGT1A6,ENST00000305139.6,chr2,234601511,+,GENCODE
UGT1A7,ENST00000373426.3,chr2,234590583,+,GENCODE
UGT1A8,ENST00000305208.5,chr2,234668893,+,GENCODE
UGT1A9,ENST00000354728.4,chr2,234580498,+,GENCODE
UGT2A1,ENST00000514019.1,chr4,70518966,-,GENCODE
UGT2A2,ENST00000457664.2,chr4,70505357,-,GENCODE
UGT2A3,ENST00000251566.4,chr4,69817508,-,GENCODE
UGT2B10,ENST00000265403.7,chr4,69681710,+,GENCODE
UGT2B11,ENST00000446444.1,chr4,70080448,-,GENCODE
UGT2B15,ENST00000338206.5,chr4,69536345,-,GENCODE
UGT2B17,ENST00000317746.2,chr4,69434244,-,GENCODE
UGT2B28,ENST00000335568.5,chr4,70146216,+,GENCODE
UGT2B4,ENST00000305107.6,chr4,70361625,-,GENCODE
UGT2B7,ENST00000305231.7,chr4,69962192,+,GENCODE
UGT3A1,ENST00000274278.3,chr5,35991699,-,GENCODE
UGT3A2,ENST00000282507.3,chr5,36066992,-,GENCODE
UGT8,ENST00000310836.6,chr4,115519610,+,GENCODE
UGT8,ENST00000394511.3,chr4,115543522,+,GENCODE
UHMK1,ENST00000489294.1,chr1,162467632,+,GENCODE
UHRF1,"ENST00000262952.6,ENST00000587870.1",chr19,4909509,+,GENCODE
UHRF1,ENST00000398240.2,chr19,4910565,+,GENCODE
UHRF1,"ENST00000543616.1,ENST00000591699.1,ENST00000592200.1",chr19,4910383,+,GENCODE
UHRF1,ENST00000587187.1,chr19,4910157,+,GENCODE
UHRF1,ENST00000591733.1,chr19,4909441,+,GENCODE
UHRF1,ENST00000592666.1,chr19,4903091,+,GENCODE
UHRF1BP1,ENST00000192788.5,chr6,34759856,+,GENCODE
UHRF1BP1L,ENST00000279907.7,chr12,100536625,-,GENCODE
UHRF2,ENST00000276893.5,chr9,6413322,+,GENCODE
UIMC1,"ENST00000377219.2,ENST00000377227.4",chr5,176433425,-,GENCODE
UIMC1,ENST00000511320.1,chr5,176433751,-,GENCODE
ULBP1,ENST00000229708.3,chr6,150285142,+,GENCODE
ULBP2,ENST00000367351.3,chr6,150263135,+,GENCODE
ULBP3,"ENST00000367339.2,ENST00000438272.2",chr6,150390215,-,GENCODE
ULK1,ENST00000321867.4,chr12,132379195,+,GENCODE
ULK2,"ENST00000361658.2,ENST00000395544.4",chr17,19771238,-,GENCODE
ULK3,"ENST00000440863.2,ENST00000569437.1",chr15,75135535,-,GENCODE
ULK4,ENST00000301831.4,chr3,42003921,-,GENCODE
UMOD,ENST00000302509.4,chr16,20364036,-,GENCODE
UMOD,ENST00000396142.2,chr16,20362163,-,GENCODE
UMOD,ENST00000570689.1,chr16,20367622,-,GENCODE
UMODL1,ENST00000408910.2,chr21,43491425,+,GENCODE
UMPS,ENST00000232607.2,chr3,124449212,+,GENCODE
UNC119,ENST00000335765.4,chr17,26879685,-,GENCODE
UNC119B,ENST00000344651.4,chr12,121148237,+,GENCODE
UNC13A,ENST00000428389.2,chr19,17799400,-,GENCODE
UNC13A,"ENST00000519716.2,ENST00000550896.1,ENST00000551649.1,ENST00000552293.1",chr19,17799117,-,GENCODE
UNC13B,"ENST00000378495.3,ENST00000378496.4",chr9,35162079,+,GENCODE
UNC13C,ENST00000537900.1,chr15,54305100,+,GENCODE
UNC13D,ENST00000207549.4,chr17,73840797,-,GENCODE
UNC45A,ENST00000394275.2,chr15,91473409,+,GENCODE
UNC45A,ENST00000418476.2,chr15,91478514,+,GENCODE
UNC45B,"ENST00000268876.5,ENST00000394570.2,ENST00000433649.1",chr17,33474843,+,GENCODE
UNC50,ENST00000357765.2,chr2,99225041,+,GENCODE
UNC5A,ENST00000329542.4,chr5,176237477,+,GENCODE
UNC5B,ENST00000335350.6,chr10,72972326,+,GENCODE
UNC5C,ENST00000453304.1,chr4,96470356,-,GENCODE
UNC5CL,ENST00000244565.3,chr6,41006927,-,GENCODE
UNC5CL,ENST00000373164.1,chr6,41002873,-,GENCODE
UNC5D,ENST00000404895.2,chr8,35092974,+,GENCODE
UNC5D,ENST00000416672.1,chr8,35093292,+,GENCODE
UNC5D,ENST00000453357.2,chr8,35401909,+,GENCODE
UNC79,ENST00000256339.4,chr14,93799564,+,GENCODE
UNC80,ENST00000439458.1,chr2,210636716,+,GENCODE
UNC93A,ENST00000230256.3,chr6,167704802,+,GENCODE
UNC93B1,ENST00000227471.2,chr11,67771592,-,GENCODE
UNCX,ENST00000316333.8,chr7,1272542,+,GENCODE
UNG,ENST00000242576.2,chr12,109535378,+,GENCODE
UNG,ENST00000336865.2,chr12,109535922,+,GENCODE
UNK,ENST00000589666.1,chr17,73780851,+,GENCODE
UNKL,ENST00000508903.2,chr16,1464691,-,GENCODE
UPB1,ENST00000326010.5,chr22,24891027,+,GENCODE
UPF1,ENST00000262803.5,chr19,18942746,+,GENCODE
UPF2,ENST00000356352.2,chr10,12077895,-,GENCODE
UPF2,ENST00000357604.5,chr10,12084832,-,GENCODE
UPF2,ENST00000397053.2,chr10,12085022,-,GENCODE
UPF3A,ENST00000375299.3,chr13,115047058,+,GENCODE
UPF3B,ENST00000345865.2,chrX,118986960,-,GENCODE
UPK1A,ENST00000222275.2,chr19,36157714,+,GENCODE
UPK1B,ENST00000264234.3,chr3,118892364,+,GENCODE
UPK2,ENST00000264031.2,chr11,118827025,+,GENCODE
UPK3A,ENST00000216211.4,chr22,45680862,+,GENCODE
UPK3B,"ENST00000334348.3,ENST00000443097.2",chr7,76139744,+,GENCODE
UPK3BL,ENST00000340457.8,chr7,102283237,-,GENCODE
UPP1,"ENST00000331803.4,ENST00000341253.4",chr7,48128297,+,GENCODE
UPP1,ENST00000395564.4,chr7,48128833,+,GENCODE
UPP2,ENST00000005756.4,chr2,158958381,+,GENCODE
UPRT,ENST00000373383.4,chrX,74493922,+,GENCODE
UQCC1,ENST00000374385.5,chr20,33999943,-,GENCODE
UQCC2,ENST00000607484.1,chr6,33679503,-,GENCODE
UQCR10,ENST00000330029.6,chr22,30163357,+,GENCODE
UQCR11,"ENST00000585671.1,ENST00000589880.1,ENST00000591899.3",chr19,1605461,-,GENCODE
UQCRB,ENST00000287022.5,chr8,97247861,-,GENCODE
UQCRC1,ENST00000203407.5,chr3,48647469,-,GENCODE
UQCRC2,ENST00000268379.4,chr16,21963980,+,GENCODE
UQCRFS1,ENST00000304863.4,chr19,29704447,-,GENCODE
UQCRH,ENST00000311672.5,chr1,46769302,+,GENCODE
UQCRQ,"ENST00000378665.1,ENST00000378667.1,ENST00000378670.3",chr5,132202303,+,GENCODE
URAD,ENST00000332715.5,chr13,28562790,-,GENCODE
URB1,ENST00000382751.3,chr21,33765334,-,GENCODE
URB2,ENST00000258243.2,chr1,229761980,+,GENCODE
URGCP,"ENST00000223341.7,ENST00000447717.3",chr7,43966002,-,GENCODE
URGCP,ENST00000336086.6,chr7,43929232,-,GENCODE
URGCP,"ENST00000402306.3,ENST00000443736.1",chr7,43946218,-,GENCODE
URGCP,ENST00000453200.1,chr7,43946667,-,GENCODE
URGCP-MRPS24,ENST00000603700.1,chr7,43946187,-,GENCODE
URI1,ENST00000312051.6,chr19,30433424,+,GENCODE
URI1,"ENST00000392271.1,ENST00000542441.2",chr19,30433157,+,GENCODE
URM1,ENST00000372853.4,chr9,131133597,+,GENCODE
UROC1,ENST00000290868.2,chr3,126236615,-,GENCODE
UROD,ENST00000246337.4,chr1,45477818,+,GENCODE
UROS,ENST00000368786.1,chr10,127505200,-,GENCODE
UROS,ENST00000368797.4,chr10,127511795,-,GENCODE
USB1,ENST00000219281.3,chr16,58035276,+,GENCODE
